"DetailID","RiskSourceDet","txtDetCompositeWeight","BUManagerDet","OSVendorDet","txtLocation","Threat","Risk","Mitigations","Response","Customers","Impact","Controls","ControlsWeight","PolicyRate","PolicyWeight","InherentRisk","VendorRisk","VendorRiskWeight","MarketRisk","MarketRiskWeight","OperationalRisk","OperationalRiskWeight","ComplianceRisk","ComplianceRiskWeight","StrategicRisk","StrategicRiskWeight","ReputationRisk","ReputationRiskWeight","CreditRisk","CreditRiskWeight","FiduciaryRisk","FiduciaryRiskWeight","RegulatoryLegalRisk","RegulatoryLegalRiskWeight","HumanResourceRisk","HumanResourceRiskWeight","CompositeRisk","RiskRating","ReviewDate","BSARisk","RegulatoryRisk","CISPRisk","AuditRisk","ComplianceRiskCK","RedFlagRisk","Outsourced","RiskManagerDet","RiskManager2Det","RiskManager3Det","RiskManager4Det","PolicyDet","Policy2Det","Policy3Det","Policy4Det","FrequencyDet","PriorRating","IntPriorRating","Comments","Trend","LastReviewer","PriorRatingCalc","RiskTypeDet","Required","calInherentRiskRating","txtAuditReviewFreq","nbrVendorIRR","dteLastAudit","dteNextAudit","memAuditComments"
18,"Customer Information Security",5.00,"Lending",,"Main Bank & Unique Service Locations","Unauthorized employee disclosure, improper disposal.  Employee access includes bank board, loan secretaries, loan officers, and bank senior management.","Customer Information - Loan Documents (Hard and electronic copy) includes application, collateral, liens, UCCs, etc.  Printed reports containing customer information.","Employee training procedures documented in the bank Information Technology Operations Policy and the bank Customer Information Security Policy.  Certified destruction by bonded shredding services for disposal of information.  Employee electronic access is controlled by computer security levels.  Security logs and network auditing reports provide additional controls to review unauthorized access attempts.  Shared printers in this area are not in regular customer areas.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",1.50,3.25,0.75,1.00,0.75,1.00,3.25,3.50,1.00,2.75,1.00,3.00,1.00,3.25,1.00,2.75,1.00,4.00,1.00,3.75,1.00,1.75,1.00,3.25,1.00,1.50,1.00,2.95,2.05,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.05,2.05,"Main Bank Loan Department","Threat Unchanged","MDT",,"Reputational Risk",,2.73,,,,,
27,"Customer Information Security",5.00,"Accounting",,"Main Bank & Unique Service Locations","Unauthorized employee disclosure, improper disposal.  Employee access includes bank board, loan secretaries, loan officers, new accounts personnel, and bank senior management. Review of Trans Union reports detailing bank access.","Credit Reports (Electronic access and hard copy)","Copies are kept on file in a controlled access area.  Records are maintained according to the retention schedule then shredded by bonded shredding services.  Electronic access to credit reports is password protected and monitored by the system administrator.  All credit information and reporting sent electronically is encrypted.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.00,3.75,0.50,1.00,0.50,1.00,3.00,4.00,1.00,2.00,1.00,3.50,1.00,3.75,1.00,2.00,1.00,3.75,1.00,3.00,1.00,1.00,1.00,3.50,1.00,2.00,1.00,2.85,1.45,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.45,1.45,"Main Bank Loan Department","Threat Unchanged","MDT",,"Vendor Risk",,2.90,,,,,
29,"Customer Information Security",5.00,"Information Technology",,"Main Bank & Unique Service Locations","Unauthorized user access, inadvertent access or poor disposal practices to paper loan documents, unauthorized employee disclosure to customers from  identity thieves or from employee carelessness.","Customer Loan Database (Gulfpak and Bankway)","Employee training procedures documented in the bank Information Technology Operations Policy and the bank Customer Information Security Policy.  Shredding practices are also kept in the IT Operations Policy.  The banks information security audit tests the CISP program especially in the areas of shredding and customer identification.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management. Immediate restriction of access to the loan database.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.75,3.00,0.50,1.00,0.50,1.00,2.50,2.00,1.00,2.00,1.00,3.75,1.00,3.50,1.00,2.00,1.00,3.50,1.00,1.75,1.00,1.50,1.00,2.50,1.00,1.00,1.00,2.35,1.32,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.32,1.32,"Main Bank Loan Department","Threat Unchanged","MDT",,"Operational Risk",,2.65,,,,,
35,"Customer Information Security",5.00,"Retail Services",,"Main Bank & Unique Service Locations","Unauthorized employee disclosure, improper disposal.  Employee access includes new accounts personnel, tellers, and bank senior management.","Customer Information - New Account information such as signature cards, maintenance change sheets, information on accounts not opened (Hard copy only), non-traditional services such as insurance, annuities, etc.","All information is maintained in accordance with the retention schedule.  Employee training procedures cover both the maintenance and release of this information.  Training procedures are outlined in this policy and the bank's Information Technology Operations Policy.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",3.00,3.50,0.75,1.00,0.75,1.00,1.50,1.00,1.00,1.00,1.00,2.50,1.00,2.25,1.00,1.50,1.00,2.75,1.00,1.50,1.00,1.00,1.00,2.25,1.00,1.50,1.00,1.72,1.82,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.82,1.82,,"Threat Unchanged","MDT",,"Reputational Risk",,2.43,,,,,
38,"Customer Information Security",5.00,"Information Security",,"Main Bank & Unique Service Locations","Unauthorized employee disclosure or improper disposal.  Employee access includes bank board, loan secretaries, loan officers, new accounts personnel, and bank senior management","ATM Administration - Applications for debit & ATM cards, ATM/Debit card disputes, Deposit corrections, CD Interest Report, ACH Returns,  Subpoenas, Reclamations, Savings Bonds, TT&L, Exception Reports","Documents physically locked in the issuing department.  Access is controlled by the department supervisor or designated alternate.  Disposal is handled according to the retention schedule.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.50,3.50,0.50,1.00,0.50,1.00,2.00,1.00,1.00,1.00,1.00,2.75,1.00,2.50,1.00,1.50,1.00,2.75,1.00,2.50,1.00,1.00,1.00,2.50,1.00,1.00,1.00,1.85,1.23,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.23,1.23,,"Threat Unchanged","MDT",,"Operational Risk",,2.46,,,,,
41,"Customer Information Security",5.00,"Information Technology",,"Main Bank & Unique Service Locations","Could be divulged to unauthorized personnel creating an opportunity for customer and/or bank fraud.  Could be altered to prevent bank management from detecting fraudulent or illegal activities.","Daily Reports and Reconciliations","Documents are limited to electronic access to the maximum extent possible.  Physical documents reviewed by assigned officer then shredded.  Shredding practices are tested during annual CISP testing.  All information disposal policies are listed in the banks IT Operations Policy.","Immediate notification of the bank Information Security Officer, compliance officer, and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",3.00,3.50,0.50,1.00,0.50,1.00,2.00,1.00,1.00,1.00,1.00,2.50,1.00,2.75,1.00,1.50,1.00,1.50,1.00,1.50,1.00,1.00,1.00,2.00,1.00,1.00,1.00,1.57,1.25,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.25,1.25,"Main Bank Accounting and Finance","Threat Unchanged","MDT",,"Compliance Risk",,2.51,,,,,
43,"Customer Information Security",5.00,"Information Security",,"Main Bank & Unique Service Locations","Bank employees and bank board of directors have access to this information.  Additionally, Vendors have access to bank customer information files and non-public information.   Vendor vulnerabilities or weaknesses related to bank data could be divulged.","Service Provider Arrangements: Bankway Banking System (host data system) Chex (credit reporting and OFAC), Trans Union & Equifax (credit bureau affiliates)","Signed confidentially agreements with vendors.  Consistent monitoring and due diligence review of vendors.  Bank IT strategic plan includes scheduled reviews service providers.  This review includes confidentiality agreements, service provider audits and test results, SAS 70 (if applicable) adherence of vendors to GLB,  vendor incident response, and service provider financial reviews","Immediate notification of the bank Information Security Officer, compliance officer and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",2.25,4.00,0.75,1.00,0.75,1.00,3.25,4.25,1.00,2.50,1.00,3.75,1.00,3.00,1.00,2.50,1.00,4.00,1.00,1.50,1.00,1.00,1.00,3.50,1.00,1.00,1.00,2.70,2.28,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.28,2.28,"Main Bank General CISP Risk","Threat Unchanged","MDT",,"Vendor Risk",,3.05,,,,,
44,"Customer Information Security",5.00,"Information Security",,"Main Bank & Unique Service Locations","Complete destruction of the entire bank facilities due to fire, water, act of nature, or technological failure.  Improper or unauthorized access to customer information records on printers.","Customer Information - All other paper records","Test and formulate a business resumption and contingency plan.  Familiarity of the disaster recovery team and key personnel will be key to recovering from this type of privacy attack.  Most printers are located at individual workstations.  Community printers are under physical security and are not in normal customer traffic areas.","Notify the banks Information Security Officer.  Implement the bank's Disaster Recovery and Business Continuity Plan",2.50,3.75,0.50,1.00,0.50,1.00,3.75,1.00,1.00,1.00,1.00,3.50,1.00,2.75,1.00,1.75,1.00,3.00,1.00,1.50,1.00,1.00,1.00,1.50,1.00,1.00,1.00,1.80,1.47,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",1.47,1.47,"Main Bank General CISP Risk","Threat Unchanged","MDT",,"Operational Risk",,2.95,,,,,
46,"Customer Information Security",5.00,"Human Resources",,"Main Bank & Unique Service Locations","Unauthorized employee system access and compromise of private financial records or other private information.","Human Resources Department :  Employee Records and Screening","Immediate system isolation for affected employee(s).  Prompt disciplinary action as well as possible customer and law enforcement notification.  Review of banned from banking list for all new hires.","Immediate system isolation for affected employee(s).  Prompt disciplinary action as well as possible customer and law enforcement notification.",2.50,3.50,0.75,1.00,0.75,1.00,2.75,1.75,1.00,2.00,1.00,2.50,1.00,2.75,1.00,2.00,1.00,1.75,1.00,1.00,1.00,1.50,1.00,3.50,1.00,4.00,1.00,2.27,2.06,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",2.06,2.06,"Main Bank General CISP Risk","Threat Unchanged","MDT",,"Regulatory / Legal Risk",,2.75,,,,,
47,"Customer Information Security",5.00,"Executive Management",,"Main Bank & Unique Service Locations","Unauthorized employee system access and compromise of private financial records or other holding company or bank,private information.","Liberty Bancshares Holding Company:  Loan Review Information, Financial Statements, and Customer Account Reports.","Area is physically secured and document storage is locked in a fire-resistant file.  Access is controlled by bank senior management.","Immediate notification of the bank Information Security Officer, compliance officer and senior management.  Reconcilement of information to determine what is missing and what has been compromised.  Convene Senior Management to determine the proper course of action(s).",1.50,2.50,0.25,1.00,0.25,1.00,1.75,1.00,1.00,2.00,1.00,2.50,1.00,2.50,1.00,1.50,1.00,1.50,1.00,1.75,1.00,3.50,1.00,2.75,1.00,1.75,1.00,2.07,0.48,1/7/2011 0:00:00,0,1,1,0,0,1,0,"Jay Clevenger","Mike Tinsley",,,"Information Security Policy","Customer Identification Policy","Know Your Customer Policy","Red Flag Identity Thieft Policy","Annual",0.48,0.48,"Main Bank General CISP Risk","Threat Unchanged","MDT",,"Fiduciary Risk",,1.95,,,,,
